Unnamed: 0,ID1,ID2
1,63,31
2,48,56
3,114,56
4,4,25
5,65,10
6,121,10
7,47,23
8,54,130
9,107,130
10,46,18
11,51,123
12,40,130
13,93,33
14,9,24
15,76,2
16,110,96
17,112,25
18,68,129
19,34,18
20,27,66
21,7,25
22,103,1
23,83,57
24,11,130
25,115,124
26,111,6
27,45,2
28,87,44
29,77,3
30,35,56
31,80,72
32,16,109
33,91,89
34,42,24
35,69,1
36,84,57
37,90,18
38,74,49
39,36,81
40,101,33
41,12,130
42,39,20
43,64,38
44,108,124
45,22,30
46,92,2
47,94,130
48,62,38
49,98,2
50,125,1
51,41,59
52,71,20
53,106,102
54,17,96
55,14,29
56,13,28
57,21,44
58,113,20
59,79,122
60,15,31
61,55,58
62,131,31
63,32,102
64,105,124
65,99,61
