Unnamed: 0,ID1,ID2
1,31,61
2,73,108
3,48,116
4,85,61
5,78,65
6,5,38
7,56,43
8,121,79
9,47,2
10,54,11
11,88,110
12,30,36
13,122,79
14,49,36
15,46,97
16,6,28
17,9,38
18,112,24
19,89,83
20,34,97
21,7,18
22,104,33
23,103,18
24,67,35
25,45,2
26,87,44
27,77,69
28,53,33
29,80,72
30,91,15
31,42,24
32,37,109
33,129,93
34,90,18
35,74,107
36,39,65
37,19,36
38,95,33
39,92,83
40,124,108
41,117,83
42,62,24
43,60,79
44,130,116
45,57,83
46,41,63
47,23,24
48,118,84
49,106,102
50,17,96
51,-1,97
52,70,33
53,119,11
54,14,97
55,21,44
56,82,68
57,10,110
58,52,76
59,25,18
60,81,61
61,131,20
62,32,13
63,59,76
64,105,96
65,99,55
